"Instituto","Campus","Co_unidade_ensino","Cidade","Sigla"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS AVANÇADO DIAMANTINO","31981","DIAMANTINO","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS AVANÇADO GUARANTA DO NORTE","44307","GUARANTÃ DO NORTE","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS JUÍNA","13512","JUÍNA","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS AVANÇADO LUCAS DO RIO VERDE","44306","LUCAS DO RIO VERDE","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS PONTES E LACERDA","3485","PONTES E LACERDA","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS PRIMAVERA DO LESTE","31284","PRIMAVERA DO LESTE","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS RONDONÓPOLIS","20148","RONDONÓPOLIS","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS SÃO VICENTE","2969","SANTO ANTÔNIO DO LEVERGER","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS AVANÇADO SINOP","31982","SINOP","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS SORRISO","20454","SORRISO","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS AVANÇADO TANGARÁ DA SERRA","31983","TANGARÁ DA SERRA","MT"
"INSTITUTO FEDERAL DE MATO GROSSO","CAMPUS VÁRZEA GRANDE","42681","VÁRZEA GRANDE","MT"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS AQUIDAUANA","13892","AQUIDAUANA","MS"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS CAMPO GRANDE","12485","CAMPO GRANDE","MS"
"UNIVERSIDADE FEDERAL DO MATO GROSSO DO SUL","CENTRO DE CAPACITAÇÃO EM SAÚDE E AMBIENTE ","21449","CAMPO GRANDE","MS"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS CORUMBÁ","14144","CORUMBÁ","MS"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS COXIM","13893","COXIM","MS"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS DOURADOS","42565","DOURADOS","MS"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS JARDIM","42563","JARDIM","MS"
"INSTITUTO FEDERAL DO MATO GROSSO DO SUL","CAMPUS NAVIRAÍ","42566","NAVIRAÍ","MS"
